node_id,node_text_normalized,node_type,mention_count
N823,reproductive-sensitive phases,physiology,1
N824,affective symptoms,disease,1
N825,neural activation patterns,physiology,1
N826,female reproductive cycle,physiology,1
N827,puberty depression,disease,1
N828,hypoactivation,physiology,1
N829,depression disorders,disease,1
N830,heterogeneous experimental protocols,method,1
N831,reproductive aging stages,physiology,1
N832,hormonal fluctuations,signs,1
N833,reproductive cycle-related depression,disease,1
N834,hormonal and neural patterns,physiology,1
N835,mood disorder,disease,1
N836,phase specific biotypes,disease,1
N837,neural functioning,physiology,1
N838,female cycle-related mood disorders,disease,1
N839,neuroendocrine,drug,1
N840,treatment approaches,method,1
N841,women ' reproductive-related depressions,disease,1
N842,automated messaging,method,1
N843,clinical settings,method,1
N844,psychotherapy,method,1
N845,moderate heritability,Health_factors,1
N846,us-born chinese americans,Health_factors,1
N847,us-born adult chinese americans,Health_factors,1
N848,collaborative psychiatric epidemiology surveys,method,1
N849,cpes,method,1
N850,secondary data analyses,method,1
N851,major depressive episode,disease,1
N852,china-to-us immigrant,Health_factors,1
N853,us-born chinese,Health_factors,1
N854,income,Health_factors,1
N855,bmi,signs,1
N856,marital status,Health_factors,1
N857,income-to-needs ratio,Health_factors,1
N858,china-to-us immigrant women,Health_factors,1
N859,life time major depression,disease,1
N860,us-born chinese american women,Health_factors,1
N861,collectivist culture,Health_factors,1
N862,post-traumatic stress,disease,1
N863,major social unrest,Health_factors,1
N864,hong kong,Health_factors,1
N865,violent social unrest,Health_factors,1
N866,health-care needs,Health_factors,1
N867,population-based prospective cohort,method,1
N868,patient health questionnaire-9,method,1
N869,traumatic events,Health_factors,1
N870,multivariable logistic regression,method,1
N871,doctor-diagnosed,Health_factors,1
N872,unrest,Health_factors,1
N873,routine service statistics,method,1
N874,professional care,method,1
N875,ambulatory specialist psychiatric visits,Health_factors,1
N876,baseline surveys,method,1
N877,occupy central movement,Health_factors,1
N878,current unrest,Health_factors,1
N879,educational attainment,Health_factors,1
N880,household income,Health_factors,1
N881,heavy social media use,Health_factors,1
N882,political attitude,Health_factors,1
N883,protest participation,Health_factors,1
N884,family support,Health_factors,1
N885,service surge capacity,Health_factors,1
N886,health-care,Health_factors,1
N887,social care professionals,Health_factors,1
N888,ifn-gamma,gene,1
N889,adult hippocampal neurogenesis,physiology,1
N890,cognitive defects,disease,1
N891,post stroke depression,disease,1
N892,medical patients,Health_factors,1
N893,multicentre randomised controlled trial,method,1
N894,therapists,Health_factors,1
N895,psychological services,Health_factors,1
N896,hospital care,Health_factors,1
N897,pilot trial,method,1
N898,randomised study,method,1
N899,hospital medical clinics,Health_factors,1
N900,"multicentre , randomised trial",method,1
N901,cardiac,disease,1
N902,endocrine,physiology,1
N903,gastroenterological,method,1
N904,neurological,method,1
